OID_,Latitude,Longitude,Altitude,Aerosol_Ty,Date,CWA,STATE_ZONE,Elevation,MH_AGL
63,34.33354253,-117.7809856,5.17,6,2009-09-07,LOX,CA254,2145,3.025
64,34.3365294,-117.7818218,5.17,6,2009-09-07,LOX,CA254,1958,3.212
65,34.33951613,-117.7826586,5.17,6,2009-09-07,LOX,CA254,2117,3.053
66,34.34250281,-117.7834959,5.17,6,2009-09-07,LOX,CA254,2096,3.074
67,34.34548954,-117.7843335,5.17,6,2009-09-07,LOX,CA254,2075,3.095
68,34.34847641,-117.7851715,5.17,6,2009-09-07,LOX,CA254,2226,2.944
69,34.44252237,-116.2525643,4.93,6,2009-08-31,VEF,CA228,808,4.122
70,34.44551148,-116.2533992,4.93,6,2009-08-31,VEF,CA228,825,4.105
71,34.4485004,-116.2542339,4.93,6,2009-08-31,VEF,CA228,841,4.089
72,34.45148919,-116.2550686,4.93,6,2009-08-31,VEF,CA228,851,4.079
73,34.45447787,-116.2559032,4.93,6,2009-08-31,VEF,CA228,860,4.07
74,34.45746651,-116.2567379,4.93,6,2009-08-31,VEF,CA228,862,4.068
75,34.46045512,-116.2575727,4.93,6,2009-08-31,VEF,CA228,859,4.071
76,34.46344376,-116.2584076,4.93,6,2009-08-31,VEF,CA228,864,4.066
77,34.46643243,-116.2592427,4.93,6,2009-08-31,VEF,CA228,866,4.064
78,34.46942104,-116.2600781,4.93,6,2009-08-31,VEF,CA228,868,4.062
79,34.47240946,-116.2609137,4.93,6,2009-08-31,VEF,CA228,872,4.058
80,34.47539757,-116.2617497,4.93,6,2009-08-31,VEF,CA228,883,4.047
81,34.47838522,-116.2625859,4.93,6,2009-08-31,VEF,CA228,892,4.038
82,34.48137231,-116.2634225,4.93,6,2009-08-31,VEF,CA228,900,4.03
83,34.48435869,-116.2642596,4.93,6,2009-08-31,VEF,CA228,907,4.023
84,34.48734425,-116.265097,4.93,6,2009-08-31,VEF,CA228,926,4.004
85,34.49032885,-116.2659349,4.93,6,2009-08-31,VEF,CA228,943,3.987
86,34.49331236,-116.2667732,4.93,6,2009-08-31,VEF,CA228,957,3.973
87,34.49629467,-116.2676121,4.93,6,2009-08-31,VEF,CA228,992,3.938
88,34.49927563,-116.2684515,4.93,6,2009-08-31,VEF,CA228,981,3.949
89,34.50225514,-116.2692915,4.93,6,2009-08-31,VEF,CA228,997,3.933
90,34.50523304,-116.270132,4.93,6,2009-08-31,VEF,CA228,1015,3.915
91,34.50820923,-116.2709732,4.93,6,2009-08-31,VEF,CA228,1052,3.878
92,34.51118364,-116.271815,4.93,6,2009-08-31,VEF,CA228,1040,3.89
93,34.5141565,-116.2726575,4.93,6,2009-08-31,VEF,CA228,1054,3.876
94,34.51712811,-116.2735004,4.93,6,2009-08-31,VEF,CA228,1081,3.849
95,34.52009877,-116.2743439,4.93,6,2009-08-31,VEF,CA228,1132,3.798
96,34.52306878,-116.2751878,4.93,6,2009-08-31,VEF,CA228,1121,3.809
97,34.52603845,-116.276032,4.93,6,2009-08-31,VEF,CA228,1132,3.798
98,34.52900806,-116.2768766,4.93,6,2009-08-31,VEF,CA228,1182,3.748
99,34.53197793,-116.2777215,4.93,6,2009-08-31,VEF,CA228,1157,3.773
100,34.53494834,-116.2785665,4.93,6,2009-08-31,VEF,CA228,1150,3.78
101,34.53791961,-116.2794117,4.93,6,2009-08-31,VEF,CA228,1169,3.761
102,34.54089203,-116.280257,4.93,6,2009-08-31,VEF,CA228,1183,3.747
103,34.5438659,-116.2811023,4.93,6,2009-08-31,VEF,CA228,1203,3.727
104,34.54684153,-116.2819477,4.93,6,2009-08-31,VEF,CA228,1192,3.738
105,34.5498192,-116.2827929,4.93,6,2009-08-31,VEF,CA228,1211,3.719
106,34.55279922,-116.283638,4.93,6,2009-08-31,VEF,CA228,1166,3.764
107,34.5557818,-116.2844829,4.93,6,2009-08-31,VEF,CA228,1122,3.808
108,34.55876668,-116.2853276,4.93,6,2009-08-31,VEF,CA228,1124,3.806
109,34.56175356,-116.2861721,4.93,6,2009-08-31,VEF,CA228,1138,3.792
110,34.56474208,-116.2870164,4.93,6,2009-08-31,VEF,CA228,1128,3.802
111,34.56773192,-116.2878603,4.93,6,2009-08-31,VEF,CA228,1069,3.861
112,34.57072275,-116.288704,4.93,6,2009-08-31,VEF,CA228,1032,3.898
113,34.57371423,-116.2895473,4.93,6,2009-08-31,VEF,CA228,1052,3.878
114,34.57670603,-116.2903903,4.93,6,2009-08-31,VEF,CA228,1031,3.899
115,34.57969781,-116.291233,4.93,6,2009-08-31,VEF,CA228,1073,3.857
116,34.58268925,-116.2920752,4.93,6,2009-08-31,VEF,CA228,988,3.942
117,34.58568,-116.2929171,4.93,6,2009-08-31,VEF,CA228,955,3.975
118,34.58866974,-116.2937585,4.93,6,2009-08-31,VEF,CA228,862,4.068
119,34.59165814,-116.2945994,4.93,6,2009-08-31,VEF,CA228,843,4.087
120,34.59464485,-116.2954399,4.93,6,2009-08-31,VEF,CA228,834,4.096
121,34.59762955,-116.2962799,4.93,6,2009-08-31,VEF,CA228,845,4.085
122,34.60061198,-116.2971194,4.93,6,2009-08-31,VEF,CA228,832,4.098
123,34.60359224,-116.2979584,4.93,6,2009-08-31,VEF,CA228,790,4.14
124,34.6065705,-116.2987969,4.93,6,2009-08-31,VEF,CA228,758,4.172
125,34.60954692,-116.2996351,4.93,6,2009-08-31,VEF,CA228,744,4.186
126,34.61252169,-116.3004728,4.93,6,2009-08-31,VEF,CA228,732,4.198
127,34.61549496,-116.3013103,4.93,6,2009-08-31,VEF,CA228,710,4.22
128,34.61846692,-116.3021474,4.93,6,2009-08-31,VEF,CA228,696,4.234
129,34.14775623,-119.2156249,0.43,0,2009-08-13,LOX,CA240,3,0.427
130,34.15074443,-119.2164518,0.43,0,2009-08-13,LOX,CA240,3,0.427
131,34.15373273,-119.2172788,0.43,0,2009-08-13,LOX,CA240,5,0.425
132,34.15672116,-119.218106,0.43,0,2009-08-13,LOX,CA240,3,0.427
133,34.15970975,-119.2189333,0.43,0,2009-08-13,LOX,CA240,2,0.428
134,34.16269854,-119.2197609,0.43,0,2009-08-13,LOX,CA240,2,0.428
135,34.16568756,-119.2205887,0.43,0,2009-08-13,LOX,CA240,2,0.428
136,34.16867683,-119.2214168,0.43,0,2009-08-13,LOX,CA240,2,0.428
137,34.17166633,-119.2222452,0.43,0,2009-08-13,LOX,CA240,2,0.428
138,34.17465602,-119.2230738,0.43,0,2009-08-13,LOX,CA240,1,0.429
139,34.18362582,-119.2255615,0.1,0,2009-08-13,LOX,CA240,4,0.096
140,34.23442279,-119.2397118,4.21,5,2009-08-13,LOX,CA240,6,4.204
141,34.23740423,-119.2405487,4.21,5,2009-08-13,LOX,CA240,8,4.202
142,34.24038417,-119.2413864,4.21,5,2009-08-13,LOX,CA240,8,4.202
143,34.24336247,-119.2422251,4.21,5,2009-08-13,LOX,CA240,11,4.199
144,34.246339,-119.2430647,4.21,5,2009-08-13,LOX,CA240,13,4.197
145,34.24931363,-119.2439054,4.21,5,2009-08-13,LOX,CA240,15,4.195
146,34.35146348,-117.7860097,5.17,6,2009-09-07,LOX,CA254,2213,2.957
147,34.43484212,-117.8096496,4.99,6,2009-09-07,LOX,CA259,1343,3.647
148,34.43780899,-117.8104858,4.99,6,2009-09-07,LOX,CA259,1332,3.658
149,34.44077574,-117.8113195,4.99,6,2009-09-07,LOX,CA259,1285,3.705
150,34.44374238,-117.8121507,4.99,6,2009-09-07,LOX,CA259,1263,3.727
151,34.44670895,-117.8129798,4.99,6,2009-09-07,LOX,CA259,1255,3.735
152,34.44967545,-117.8138069,4.99,6,2009-09-07,LOX,CA259,1231,3.759
153,34.4526419,-117.8146324,4.99,6,2009-09-07,LOX,CA259,1276,3.714
154,34.45560831,-117.8154565,4.99,6,2009-09-07,LOX,CA259,1230,3.76
155,34.45857472,-117.8162794,4.99,6,2009-09-07,LOX,CA259,1212,3.778
156,34.62143773,-116.3029842,4.93,6,2009-08-31,VEF,CA228,677,4.253
157,34.62440756,-116.3038209,4.93,6,2009-08-31,VEF,CA228,666,4.264
158,34.6273766,-116.3046573,4.93,6,2009-08-31,VEF,CA228,654,4.276
159,34.630345,-116.3054936,4.93,6,2009-08-31,VEF,CA228,644,4.286
160,34.63331294,-116.3063298,4.93,6,2009-08-31,VEF,CA228,634,4.296
161,34.6362806,-116.3071658,4.93,6,2009-08-31,VEF,CA228,624,4.306
162,34.63924814,-116.3080019,4.93,6,2009-08-31,VEF,CA228,617,4.313
163,34.64221573,-116.3088379,4.93,6,2009-08-31,VEF,CA228,613,4.317
164,34.64518352,-116.3096739,4.93,6,2009-08-31,VEF,CA228,609,4.321
165,34.64815156,-116.3105101,4.93,6,2009-08-31,VEF,CA228,603,4.327
166,34.65111984,-116.3113465,4.93,6,2009-08-31,VEF,CA228,599,4.331
167,34.6540884,-116.3121831,4.93,6,2009-08-31,VEF,CA228,596,4.334
168,34.65705723,-116.31302,4.93,6,2009-08-31,VEF,CA228,592,4.338
169,34.66002635,-116.3138574,4.93,6,2009-08-31,VEF,CA228,587,4.343
170,34.66299578,-116.3146953,4.93,6,2009-08-31,VEF,CA228,584,4.346
171,34.66596553,-116.3155338,4.93,6,2009-08-31,VEF,CA228,581,4.349
172,34.66893561,-116.316373,4.93,6,2009-08-31,VEF,CA228,579,4.351
173,34.67190603,-116.3172129,4.93,6,2009-08-31,VEF,CA228,578,4.352
174,34.67487681,-116.3180536,4.93,6,2009-08-31,VEF,CA228,579,4.351
175,34.67784796,-116.3188952,4.93,6,2009-08-31,VEF,CA228,579,4.351
176,34.68081949,-116.3197379,4.93,6,2009-08-31,VEF,CA228,579,4.351
177,34.68379142,-116.3205815,4.93,6,2009-08-31,VEF,CA228,579,4.351
178,34.68676376,-116.3214264,4.93,6,2009-08-31,VEF,CA228,579,4.351
179,34.68973651,-116.3222724,4.93,6,2009-08-31,VEF,CA228,578,4.352
180,34.6927096,-116.3231194,4.93,6,2009-08-31,VEF,CA228,578,4.352
181,34.69568295,-116.323967,4.93,6,2009-08-31,VEF,CA228,583,4.347
182,34.69865647,-116.3248149,4.93,6,2009-08-31,VEF,CA228,585,4.345
183,34.7016301,-116.3256629,4.93,6,2009-08-31,VEF,CA228,585,4.345
184,34.70460374,-116.3265108,4.93,6,2009-08-31,VEF,CA228,592,4.338
185,34.70757731,-116.3273581,4.93,6,2009-08-31,VEF,CA228,599,4.331
186,34.71055074,-116.3282046,4.93,6,2009-08-31,VEF,CA228,602,4.328
187,34.71352394,-116.32905,4.93,6,2009-08-31,VEF,CA228,610,4.32
188,34.71649682,-116.3298941,4.93,6,2009-08-31,VEF,CA228,623,4.307
189,34.71946932,-116.3307364,4.93,6,2009-08-31,VEF,CA228,626,4.304
190,34.72244134,-116.3315769,4.93,6,2009-08-31,VEF,CA228,626,4.304
191,34.72541281,-116.3324151,4.93,6,2009-08-31,VEF,CA228,628,4.302
192,34.72838364,-116.3332507,4.93,6,2009-08-31,VEF,CA228,629,4.301
193,34.73135376,-116.3340836,4.93,6,2009-08-31,VEF,CA228,630,4.3
194,34.73432311,-116.3349134,4.93,6,2009-08-31,VEF,CA228,634,4.296
195,34.73729181,-116.3357406,4.93,6,2009-08-31,VEF,CA228,638,4.292
196,34.74026,-116.3365655,4.93,6,2009-08-31,VEF,CA228,640,4.29
197,34.74322782,-116.3373885,4.93,6,2009-08-31,VEF,CA228,644,4.286
198,34.74619541,-116.3382102,4.93,6,2009-08-31,VEF,CA228,652,4.278
199,34.74916292,-116.3390309,4.93,6,2009-08-31,VEF,CA228,660,4.27
200,34.75213048,-116.339851,4.93,6,2009-08-31,VEF,CA228,669,4.261
201,34.75509825,-116.340671,4.93,6,2009-08-31,VEF,CA228,675,4.255
202,34.75806637,-116.3414913,4.93,6,2009-08-31,VEF,CA228,680,4.25
203,34.76103498,-116.3423123,4.93,6,2009-08-31,VEF,CA228,681,4.249
204,34.76400421,-116.3431345,4.93,6,2009-08-31,VEF,CA228,684,4.246
205,34.76697423,-116.3439582,4.93,6,2009-08-31,VEF,CA228,689,4.241
206,34.76994516,-116.344784,4.93,6,2009-08-31,VEF,CA228,695,4.235
207,34.77291715,-116.3456121,4.93,6,2009-08-31,VEF,CA228,694,4.236
208,34.77589035,-116.3464432,4.93,6,2009-08-31,VEF,CA228,693,4.237
209,34.77886486,-116.3472774,4.93,6,2009-08-31,VEF,CA228,690,4.24
210,34.78184062,-116.3481146,4.93,6,2009-08-31,VEF,CA228,687,4.243
211,34.78481755,-116.3489547,4.93,6,2009-08-31,VEF,CA228,689,4.241
212,34.78779555,-116.3497975,4.93,6,2009-08-31,VEF,CA228,688,4.242
213,34.79077454,-116.3506426,4.93,6,2009-08-31,VEF,CA228,689,4.241
214,34.79375443,-116.3514898,4.93,6,2009-08-31,VEF,CA228,696,4.234
215,34.79673511,-116.3523391,4.93,6,2009-08-31,VEF,CA228,696,4.234
216,35.36477131,-111.8265021,3.94,2,2009-08-10,FGZ,AZ115,2378,1.562
217,35.36773778,-111.8273392,3.94,2,2009-08-10,FGZ,AZ115,2389,1.551
218,35.37070411,-111.8281759,3.94,2,2009-08-10,FGZ,AZ115,2392,1.548
219,35.37367025,-111.8290124,3.94,2,2009-08-10,FGZ,AZ115,2393,1.547
220,35.37663617,-111.8298489,3.94,2,2009-08-10,FGZ,AZ115,2399,1.541
221,35.37960186,-111.8306855,3.94,2,2009-08-10,FGZ,AZ115,2396,1.544
222,35.38256727,-111.8315222,3.94,2,2009-08-10,FGZ,AZ115,2396,1.544
223,35.38553238,-111.8323593,3.94,2,2009-08-10,FGZ,AZ115,2424,1.516
224,35.38849717,-111.8331968,3.94,2,2009-08-10,FGZ,AZ115,2539,1.401
225,35.3914617,-111.8340349,3.94,2,2009-08-10,FGZ,AZ115,2614,1.326
226,35.39442606,-111.8348734,3.94,2,2009-08-10,FGZ,AZ115,2671,1.269
227,35.3973903,-111.8357125,3.94,2,2009-08-10,FGZ,AZ115,2720,1.22
228,35.40035452,-111.8365522,3.94,2,2009-08-10,FGZ,AZ115,2823,1.117
229,35.40331878,-111.8373924,3.94,2,2009-08-10,FGZ,AZ115,2974,0.966
230,35.40628316,-111.8382333,3.94,2,2009-08-10,FGZ,AZ115,2910,1.03
231,35.40924774,-111.8390748,3.94,2,2009-08-10,FGZ,AZ115,2952,0.988
232,35.4122126,-111.839917,3.94,2,2009-08-10,FGZ,AZ115,3047,0.893
233,35.4151778,-111.8407599,3.94,2,2009-08-10,FGZ,AZ115,3059,0.881
234,35.41814344,-111.8416036,3.94,2,2009-08-10,FGZ,AZ115,2955,0.985
235,35.42110957,-111.842448,3.94,2,2009-08-10,FGZ,AZ115,2882,1.058
236,35.42407628,-111.8432931,3.94,2,2009-08-10,FGZ,AZ115,2774,1.166
237,35.42704365,-111.8441391,3.94,2,2009-08-10,FGZ,AZ115,2707,1.233
238,35.43001175,-111.844986,3.94,2,2009-08-10,FGZ,AZ115,2665,1.275
239,35.43298067,-111.8458337,3.94,2,2009-08-10,FGZ,AZ115,2624,1.316
240,35.43595059,-111.8466822,3.94,2,2009-08-10,FGZ,AZ115,2514,1.426
241,35.43892169,-111.8475317,3.94,2,2009-08-10,FGZ,AZ115,2441,1.499
242,35.44189415,-111.8483821,3.94,2,2009-08-10,FGZ,AZ115,2403,1.537
243,35.44486818,-111.8492335,3.94,2,2009-08-10,FGZ,AZ115,2328,1.612
244,35.44784395,-111.8500858,3.94,2,2009-08-10,FGZ,AZ115,2298,1.642
245,35.45082164,-111.8509391,3.94,2,2009-08-10,FGZ,AZ115,2290,1.65
246,35.45380146,-111.8517934,5.14,6,2009-08-10,FGZ,AZ115,2285,2.855
247,35.45678359,-111.8526487,5.14,6,2009-08-10,FGZ,AZ115,2277,2.863
248,35.4597682,-111.8535051,5.14,6,2009-08-10,FGZ,AZ115,2270,2.87
249,35.4627555,-111.8543625,5.14,6,2009-08-10,FGZ,AZ115,2255,2.885
250,35.46574567,-111.8552211,5.14,6,2009-08-10,FGZ,AZ115,2239,2.901
251,35.46873889,-111.8560807,5.14,6,2009-08-10,FGZ,AZ115,2225,2.915
252,35.47173536,-111.8569414,5.14,6,2009-08-10,FGZ,AZ115,2196,2.944
253,35.47473526,-111.8578033,5.14,6,2009-08-10,FGZ,AZ115,2182,2.958
254,35.47773858,-111.8586664,5.14,6,2009-08-10,FGZ,AZ115,2162,2.978
255,35.48074453,-111.8595302,4.24,6,2009-08-10,FGZ,AZ115,2154,2.086
256,35.48375212,-111.8603947,4.24,6,2009-08-10,FGZ,AZ115,2159,2.081
257,35.48676037,-111.8612595,4.24,6,2009-08-10,FGZ,AZ115,2161,2.079
258,35.48976828,-111.8621244,5.14,6,2009-08-10,FGZ,AZ115,2160,2.98
259,35.49277486,-111.862989,5.14,6,2009-08-10,FGZ,AZ115,2158,2.982
260,35.49577913,-111.863853,5.14,6,2009-08-10,FGZ,AZ115,2156,2.984
261,34.25228623,-119.2447472,4.21,5,2009-08-13,LOX,CA240,17,4.193
262,34.25525665,-119.2455902,4.21,5,2009-08-13,LOX,CA240,19,4.191
263,34.25822486,-119.2464344,4.21,5,2009-08-13,LOX,CA240,22,4.188
264,34.26119114,-119.2472796,4.21,5,2009-08-13,LOX,CA240,24,4.186
265,34.26415587,-119.2481256,4.21,5,2009-08-13,LOX,CA240,27,4.183
266,34.26711942,-119.2489723,4.21,5,2009-08-13,LOX,CA240,33,4.177
267,34.27008216,-119.2498194,4.21,5,2009-08-13,LOX,CA240,38,4.172
268,34.27304446,-119.2506668,4.21,5,2009-08-13,LOX,CA240,43,4.167
269,34.27600671,-119.2515141,4.21,5,2009-08-13,LOX,CA240,48,4.162
270,34.27896928,-119.2523613,4.21,5,2009-08-13,LOX,CA240,55,4.155
271,34.28193253,-119.2532082,4.21,5,2009-08-13,LOX,CA240,96,4.114
272,34.28489685,-119.2540545,4.21,5,2009-08-13,LOX,CA240,99,4.111
273,34.2878626,-119.2549,4.21,5,2009-08-13,LOX,CA240,136,4.074
274,34.29083017,-119.2557445,4.21,5,2009-08-13,LOX,CA244,90,4.12
275,34.29379992,-119.2565879,4.21,5,2009-08-13,LOX,CA244,134,4.076
276,34.29677223,-119.2574298,4.21,5,2009-08-13,LOX,CA244,113,4.097
277,34.29974747,-119.2582703,4.21,5,2009-08-13,LOX,CA244,99,4.111
278,34.30272589,-119.259109,4.21,5,2009-08-13,LOX,CA244,186,4.024
279,34.30570727,-119.259946,4.21,5,2009-08-13,LOX,CA244,226,3.984
280,34.30869123,-119.2607816,4.21,5,2009-08-13,LOX,CA244,320,3.89
281,34.31167742,-119.2616158,4.21,5,2009-08-13,LOX,CA244,244,3.966
282,34.31466548,-119.2624489,4.21,5,2009-08-13,LOX,CA244,306,3.904
283,34.31765506,-119.2632808,4.21,5,2009-08-13,LOX,CA244,226,3.984
284,34.32064579,-119.2641119,4.21,5,2009-08-13,LOX,CA244,175,4.035
285,34.32363732,-119.2649422,4.21,5,2009-08-13,LOX,CA244,289,3.921
286,34.32662928,-119.2657718,4.21,5,2009-08-13,LOX,CA244,231,3.979
287,34.32962133,-119.2666009,4.21,5,2009-08-13,LOX,CA244,283,3.927
288,34.33261309,-119.2674297,4.21,5,2009-08-13,LOX,CA244,153,4.057
289,34.33560421,-119.2682583,4.21,5,2009-08-13,LOX,CA244,204,4.006
290,34.33859434,-119.2690869,4.21,5,2009-08-13,LOX,CA244,192,4.018
291,34.34158311,-119.2699155,4.21,5,2009-08-13,LOX,CA244,110,4.1
292,34.34457016,-119.2707443,4.21,5,2009-08-13,LOX,CA244,98,4.112
293,34.34755522,-119.2715735,4.21,5,2009-08-13,LOX,CA244,177,4.033
294,34.35053835,-119.272403,4.21,5,2009-08-13,LOX,CA244,221,3.989
295,34.35351968,-119.2732328,4.21,5,2009-08-13,LOX,CA244,206,4.004
296,34.35649935,-119.2740629,4.21,5,2009-08-13,LOX,CA244,186,4.024
297,34.35947751,-119.2748932,4.21,5,2009-08-13,LOX,CA244,240,3.97
298,34.36245428,-119.2757238,4.21,5,2009-08-13,LOX,CA244,283,3.927
299,34.36542981,-119.2765545,4.21,5,2009-08-13,LOX,CA244,283,3.927
300,34.84745962,-116.366867,4.93,6,2009-08-31,VEF,CA228,985,3.945
301,34.85044592,-116.3677161,4.93,6,2009-08-31,VEF,CA228,1003,3.927
302,34.85343278,-116.3685635,4.93,6,2009-08-31,VEF,CA228,1042,3.888
303,34.85642026,-116.369409,4.93,6,2009-08-31,VEF,CA228,1074,3.856
304,34.85940841,-116.3702526,4.93,6,2009-08-31,VEF,CA228,1195,3.735
305,34.86239729,-116.371094,4.93,6,2009-08-31,VEF,CA228,1120,3.81
306,34.86538696,-116.371933,4.93,6,2009-08-31,VEF,CA228,1078,3.852
307,34.86837745,-116.3727696,4.93,6,2009-08-31,VEF,CA228,1151,3.779
308,34.87136868,-116.3736041,4.93,6,2009-08-31,VEF,CA228,1131,3.799
309,34.87436055,-116.3744368,4.93,6,2009-08-31,VEF,CA228,1147,3.783
310,34.87735295,-116.375268,4.93,6,2009-08-31,VEF,CA228,1126,3.804
311,34.88034578,-116.3760983,4.93,6,2009-08-31,VEF,CA228,1124,3.806
312,34.88333893,-116.3769278,4.93,6,2009-08-31,VEF,CA228,1121,3.809
313,34.8863323,-116.377757,4.93,6,2009-08-31,VEF,CA228,1127,3.803
314,34.88932578,-116.3785862,4.93,6,2009-08-31,VEF,CA228,1058,3.872
315,34.89231926,-116.3794159,4.93,6,2009-08-31,VEF,CA228,1018,3.912
316,34.89531266,-116.3802463,4.93,6,2009-08-31,VEF,CA228,958,3.972
317,34.89830585,-116.3810778,4.93,6,2009-08-31,VEF,CA228,888,4.042
318,34.90129873,-116.3819108,4.93,6,2009-08-31,VEF,CA228,869,4.061
319,34.90429121,-116.3827456,4.93,6,2009-08-31,VEF,CA228,855,4.075
320,34.90728317,-116.3835827,4.93,6,2009-08-31,VEF,CA228,841,4.089
321,34.91027451,-116.3844223,4.93,6,2009-08-31,VEF,CA228,827,4.103
322,34.91326515,-116.3852647,4.93,6,2009-08-31,VEF,CA228,820,4.11
323,34.91625515,-116.3861098,4.93,6,2009-08-31,VEF,CA228,818,4.112
324,34.91924457,-116.3869572,4.93,6,2009-08-31,VEF,CA228,817,4.113
325,34.9222335,-116.3878066,4.93,6,2009-08-31,VEF,CA228,821,4.109
326,34.92522202,-116.3886577,4.93,6,2009-08-31,VEF,CA228,830,4.1
